A Cave | Dungeon | 0x018B0191 [50 -10 0] -0.003491 0 0 -0.999994
Empyrean Foundry Portal | Dungeon | 0x013602B6 [40 -130 0] -0.707107 0 0 -0.707107
Empyrean Garrison | Dungeon | 0x01610264 [80 -80 0] -0.707107 0 0 -0.707107
Empyrean Ice Propylaeum | Dungeon | 0x5272014B [30 0 0] 0.707107 0 0 -0.707107
Empyrean Lightning Propylaeum | Dungeon | 0x5274014B [30 0 0] 0.707107 0 0 -0.707107
Empyrean Mausoleum Portal | Dungeon | 0x02AC01D9 [890 -180 -12] 1 0 0 0
Empyrean Shore Villas Portal | Dungeon | 0x4DE70006 [10.453 129.072 0.12] 0.942397 0 0 -0.334498
Empyrean Workshop | Dungeon | 0x006E055E [104.056 -44.0326 0.005] 0.382683 0 0 -0.92388
Enchanted Mnemosyne Portal 1 | Dungeon | 0x654C0677 [90 -230 0.005] 1 0 0 0
Enchanted Mnemosyne Portal 2 | Dungeon | 0x654C0677 [160 -230 0.005] 1 0 0 0
Enchanted Mnemosyne Portal 3 | Dungeon | 0x654C065D [20 -230 0.005] 1 0 0 0
Enchanter's Meadow Portal | Dungeon | 0xAD860025 [102.469 110.403 25.344] -0.281454 0 0 -0.959575
Endara Gate Portal | Dungeon | 0x85000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Enkindled Souls | Dungeon | 0x014101A6 [70 -170 0] 1 0 0 0
Enlightened Master's Chambers | Dungeon | 0x005701EC [590 -200 0.005] 1 0 0 0
Enlightened Master's Chambers | Dungeon | 0x007B01EC [590 -200 0.005] 1 0 0 0
Entrance to Portal Space | Dungeon | 0x526C040D [110 -110 2.025] 1 0 0 0
Entrance to the pyramid | Dungeon | 0x00CB0100 [0 0 -29] 0 0 0 -1
Entrance to the pyramid | Dungeon | 0x00CB016E [160 -210 -29.995] 0 0 0 -1
Entrance to the pyramid | Dungeon | 0x00CB01DC [290 -11 -29] 0 0 0 -1
Entropic Decay | Dungeon | 0x59450147 [79.75 -99 0.005] 1 0 0 0
Eotensfang Cottages Portal | Dungeon | 0xCBB20016 [59.806 136.699 212.555] 0.021632 0 0 -0.999766
Eotensfang Portal | Dungeon | 0xCBB40003 [6.9 66.5 283.1] 0.130526 0 0 -0.991445
Erevana Villas Portal | Dungeon | 0xAB380023 [111.889 71.916 58.653] -0.821289 0 0 -0.570513
Escape Route | Dungeon | 0x0B700118 [74.023 100.849 90.089] 0.008378 0 0 -0.999965
Essence Chambers | Dungeon | 0x008C0121 [70 -42 -5.995] 1 0 0 0
Evensong Festival Stone Portal | Dungeon | 0xADB4000C [44.3 91.6 27.9] -0.96363 0 0 -0.267238
Evensong Settlement Portal | Dungeon | 0xB2B30014 [69.105 91.371 116.487] 0.96984 0 0 -0.243742
Exit | Dungeon | 0x016A02B0 [10 -20 0.005] 1 0 0 0
Exit | Dungeon | 0x016B0454 [20 -60 0.005] -0.707107 0 0 -0.707107
Exit | Dungeon | 0x01F00454 [20 -60 0.005] -0.707107 0 0 -0.707107
Exit | Dungeon | 0x01F202B0 [10 -20 0.005] 0.707107 0 0 -0.707107
Exit | Dungeon | 0x02D80454 [20 -60 0.005] -0.707107 0 0 -0.707107
Exit | Dungeon | 0x02D902B0 [10 -20 0.005] 0.707107 0 0 -0.707107
Exit | Dungeon | 0x09040008 [11.4 188.6 87.7] -0.996345 0 0 -0.085417
Exit | Dungeon | 0x22BC003E [191.381 146.636 237.677] -0.707107 0 0 -0.707107
Exit | Dungeon | 0x2E43000C [33 80 7.5] 0.707107 0 0 -0.707107
Exit | Dungeon | 0x5B4502DC [50.2393 -69.6482 -41.995] 1 0 0 0
Exit | Dungeon | 0x64440144 [90 -300 -23.995] 1 0 0 0
Exit | Dungeon | 0x73080105 [55.9 184.6 8] 0.96363 0 0 -0.267238
Exit | Dungeon | 0x75D70015 [59.981 108.173 430.18] -0.707107 0 0 -0.707107
Exit | Dungeon | 0x828E0008 [3.6 171 124] -0.939693 0 0 -0.34202
Exit | Dungeon | 0x8E8E000C [29.7 74.6 112] 0.052336 0 0 -0.99863
Exit | Dungeon | 0x937C003B [183 48 36.01] 0 0 0 -1
Exit | Dungeon | 0xA9540018 [55.752 169.706 30.147] 0.103556 0 0 -0.994624
Exit | Dungeon | 0xB7630019 [74.5 21.2 14] -0.471012 0 0 -0.882127
Exit | Dungeon | 0xBE890027 [106.7 146.5 41.4] -0.350207 0 0 -0.936672
Exit | Dungeon | 0xD6DB0009 [25.2281 2.22136 0.560341] 0.562923 0 0 0.826509
Exit | Dungeon | 0xD9560001 [1.39 23.3 30] 0.931437 0 0 -0.363902
Exit | Dungeon | 0xE15B0004 [12.7 81.1 6] 1 0 0 0
Exit | Dungeon | 0xF25B0002 [12.265 43.685 0.28] 1 0 0 0
Exit Copper Legion Keep | Dungeon | 0x808E000D [30.7448 96.9631 124.005] -0.998393 0 0 0.056663
Exit Gold Legion Keep | Dungeon | 0x8190003E [184.061 129.664 124.005] 0.930043 0 0 0.367452
Exit Karlun's Fort | Dungeon | 0x2AEE0030 [132 180 50.005] -1 0 0 0
Exit Lugian Ice Tunnels | Dungeon | 0x40F40031 [148.548 6.62632 2.005] 0.949474 0 0 -0.313844
Exit Platinum Legion Keep | Dungeon | 0x80940009 [34.7185 9.9537 204.005] -0.305508 0 0 0.95219
Exit portal | Dungeon | 0x5BA0002D [140.001 112.791 31.672] 1 0 0 0
Exit portal | Dungeon | 0xBBBF001C [75 78 222.3] -0.063661 0 0 -0.997972
Exit portal | Dungeon | 0xC5D00029 [128.49 5.692 116.108] 0.95567 0 0 -0.294441
Exit portal | Dungeon | 0xCAC00002 [15.211 38.706 10.779] 0.811691 0 0 -0.584087
Exit portal | Dungeon | 0xCAD8002D [127.124 96.307 52.035] 0.373635 0 0 -0.927576
Exit portal | Dungeon | 0xCBCA003F [181.594 145.919 69.579] -0.195826 0 0 -0.980639
Exit portal | Dungeon | 0xD2B6000D [32.4 113.1 203.1] -0.999832 0 0 -0.018325
Exit portal | Dungeon | 0xD3C7002A [143.519 27.877 51.965] -0.999206 0 0 -0.039844
Exit portal | Dungeon | 0xD7D2002D [142.513 117.289 28.005] 1 0 0 0
Exit Portal | Dungeon | 0x1579003F [180 156 300] -0.382683 0 0 -0.92388
Exit Portal | Dungeon | 0x157D0040 [180 180 300] -0.92388 0 0 -0.382684
Exit Portal | Dungeon | 0x1979003F [180 156 300] 0.382683 0 0 -0.92388
Exit Portal | Dungeon | 0x1A7D0008 [12 180 300] 0.92388 0 0 -0.382684
Exit Portal | Dungeon | 0x1DBB0019 [92 20 25] 1 0 0 0
Exit Portal | Dungeon | 0x7E650013 [58.967 50.228 14.005] -0.341708 0 0 -0.939806
Exit Portal | Dungeon | 0xA5B40033 [158.08 66.886 48.5] 0.863774 0 0 -0.50388
Exit Portal | Dungeon | 0xA5B40033 [158.08 66.886 48.5] 0.863774 0 0 -0.50388
Exit Portal | Dungeon | 0xB6EA0027 [99 160 32.967] 0.707107 0 0 -0.707107
Exit Portal | Dungeon | 0xB6EB003C [179.859 80.599 25.018] 0.949907 0 0 -0.312534
Exit Portal | Dungeon | 0xBE7C0036 [140 110 31] 0.707107 0 0 -0.707107
Exit Portal | Dungeon | 0xF684003D [170.15 115.993 48.62] 0.397516 0 0 -0.917595
Exit Ruschk Icehold | Dungeon | 0x3EEC002D [121.045 108 4.005] 0.707107 0 0 -0.707107
Exit Silver Legion Keep | Dungeon | 0x7D90001C [92.1165 81.0575 124.005] 0.363819 0 0 -0.93147
Exit to Holtburg | Dungeon | 0xA9B40019 [84 7.1 94] 0.996917 0 0 -0.078459
Exit to Olthoi Arcade North | Dungeon | 0x5B430139 [60.2 -343.5 -23.995] 1 0 0 0
Exit to Sanamar | Dungeon | 0x33D90015 [59.1 100.3 52.005] 0 0 0 -1
Exit to Shoushi | Dungeon | 0xDA55001D [84.8 99 20] 1 0 0 0
Exit to Surface | Dungeon | 0x1156000E [45.5 125.5 -0.095] 0 0 0 -1
Exit to Surface | Dungeon | 0x26310024 [117.6 94 72] -0.346117 0 0 -0.938191
Exit to Surface | Dungeon | 0x2D500022 [114.188 24.05 0.005] -0.766044 0 0 -0.642788
Exit to Surface | Dungeon | 0x3F4E0011 [65.817 7.813 0.52] 0.901206 0 0 -0.433392
Exit to Surface | Dungeon | 0x5BD8002E [130.024 132.473 174.005] 0.707107 0 0 -0.707107
Exit to Surface | Dungeon | 0x69120024 [109.75 76.5 69.576] 0 0 0 -1
Exit to Surface | Dungeon | 0x80900006 [12 132 124.005] 0.67559 0 0 -0.737277
Exit to Surface | Dungeon | 0x866A0032 [159.979 25.192 11.906] -0.247024 0 0 -0.969009
Exit to Surface | Dungeon | 0x88650033 [164.656 66.2264 75] -0.619371 0 0 0.785098
Exit to Surface | Dungeon | 0xB11F0014 [55.408 87.345 114.005] -0.461749 0 0 -0.887011
Exit to Surface | Dungeon | 0xB3180005 [23.851 103.321 338.15] -0.876021 0 0 -0.482274
Exit to Surface | Dungeon | 0xB86D003B [178.149 48.179 9.99] 0.766044 0 0 -0.642788
Exit to Surface | Dungeon | 0xBA610004 [9.389 84.423 6.005] 0.93358 0 0 -0.358368
Exit to Surface | Dungeon | 0xBD700035 [159.276 97.58 5.905] 0.689259 0 0 -0.724515
Exit to Surface | Dungeon | 0xC08B0003 [9.966 55.82 38.339] 1 0 0 0
Exit to Surface | Dungeon | 0xCA500029 [127.183 19.309 54.188] -0.235651 0 0 -0.971838
Exit to Surface | Dungeon | 0xCE7C0035 [155.595 115.499 17.697] 0.419872 0 0 -0.907583
Exit to Surface | Dungeon | 0xD0540028 [98.2248 185.695 238.005] 0.987777 0 0 -0.155874
Exit to Surface | Dungeon | 0xD23C0034 [161.39 90.261 381.034] -0.425756 0 0 -0.904838
Exit to Surface | Dungeon | 0xDA57001C [90.505 79.609 14.005] -0.987688 0 0 -0.156434
Exit to Surface | Dungeon | 0xE720000D [35 110 0.005] 0.949699 0 0 -0.313164
Exit to Surface | Dungeon | 0xE8220007 [12.705 163.177 0.005] -0.173648 0 0 -0.984808
Exit To Surface | Dungeon | 0x2B120029 [120.642 1.549 10.112] 0.087156 0 0 -0.996195
Exit To Surface | Dungeon | 0x42DB001F [73.597 149.649 83.867] 0.490524 0 0 -0.871428
Exit To Surface | Dungeon | 0x5C9F003D [182.633 113.327 46.663] 0.022958 0 0 -0.999736
Exit To Surface | Dungeon | 0x71C20017 [55.62 155.317 194.635] -0.757063 0 0 -0.653342
Exit To Surface | Dungeon | 0x7513003F [169.539 155.45 22] 0.056222 0 0 -0.998418
Exit To Surface | Dungeon | 0x84F50029 [133.482 9.739 152.065] -0.950849 0 0 -0.309656
Exit To Surface | Dungeon | 0x8BD1000D [39.589 99.958 232.475] -0.935524 0 0 -0.353263
Exit To Surface | Dungeon | 0x8E51002E [125.498 126.701 15.084] -0.743174 0 0 -0.669098
Exit To Surface | Dungeon | 0x8E720040 [181.963 180.501 60] -0.307157 0 0 -0.951659
Exit To Surface | Dungeon | 0x958A000C [30.115 86.103 107.49] -0.045224 0 0 -0.998977
Exit To Surface | Dungeon | 0xA1770004 [23.534 82.351 28] -0.636226 0 0 -0.771503
Exit To Surface | Dungeon | 0xBA140013 [60.934 61.19 185.209] -0.888301 0 0 -0.459262
Exit To Surface | Dungeon | 0xBE680008 [16.4 182.5 20] 0.868199 0 0 -0.496217
Exit To Surface | Dungeon | 0xCBB80040 [170.513 174.848 103.639] -0.619553 0 0 -0.784955
Exit To Surface | Dungeon | 0xDA750035 [164.03 99.661 18] -0.122164 0 0 -0.99251
Exit To Surface | Dungeon | 0xE3420003 [20.316 70.556 33.813] -0.964705 0 0 -0.263335
Exit to the Surface | Dungeon | 0x12930032 [156.264 45.18 0.005] -0.99714 0 0 -0.075579
Exit to the Surface | Dungeon | 0x15B10026 [111 143.3 -0.1] -0.593419 0 0 -0.804894
Exit to the Surface | Dungeon | 0x18B30014 [58.1 90.6 21.6] 0.981124 0 0 -0.193378
Exit to the Surface | Dungeon | 0x19B0003B [186.4 49.7 0] -0.933581 0 0 -0.358368
Exit to the Surface | Dungeon | 0x20B00001 [8 10.9 0] 0.225801 0 0 -0.974173
Exit to the Surface | Dungeon | 0x24BC003C [173.2 94.7 22.1] 0.858065 0 0 -0.513541
Exit to Yaraq | Dungeon | 0x7D64000D [31.9 104.6 11.9] 0.577145 0 0 -0.816642
Exit Viamontian Royal Prison | Dungeon | 0x4BF2001C [94.2223 83.8704 8.005] -0.757822 0 0 -0.65246
Explorer's Villas Portal | Dungeon | 0xD1CC001B [95.244 71.331 39.942] -0.695179 0 0 -0.718836
Facility Entrance | Dungeon | 0x2D6B02C4 [141.394 158.127 38.405] 0.739593 0 0 0.673055
Fadsahil Settlement Portal | Dungeon | 0x48BC0024 [99.899 92.424 38.759] 0.213073 0 0 -0.977036
Fadsahil's Portal | Dungeon | 0x8E4C0015 [60 104 10] 0 0 0 -1
Falatacot Depot | Dungeon | 0x585E0101 [0 -40 0.005] 0.707107 0 0 -0.707107
Falatacot Temple | Dungeon | 0x665E021E [30 -130.78 0.019191] 1 0 0 0
Falatacot Vault | Dungeon | 0x007201E4 [30 -130 -5.995] 1 0 0 0
Falcon Clan Training Camp | Dungeon | 0x5777040D [241.9 0.190061 0.005] 1 0 0 0
Far Claw Villas Portal | Dungeon | 0xC9C30034 [160.754 88.934 22.005] -0.957883 0 0 -0.28716
Far Horizon Cottages Portal | Dungeon | 0x7CF3001D [85.899 98.11 82.005] -0.998142 0 0 -0.060935
Far North Shore Portal | Dungeon | 0xA3E9001E [84 132 36.5] 1 0 0 0
Faranar Foothills Portal | Dungeon | 0xB26C002C [139.718 94.246 24.508] -0.954795 0 0 -0.297267
Farmer's Garden | Dungeon | 0x0299010D [70 -10 0] 0.707107 0 0 -0.707107
Fathomless Chasm | Dungeon | 0x545E01DD [20 -80 0] 1 0 0 0
Fathomless Chasm Abyss | Dungeon | 0x54600349 [250 -100 42] 1 0 0 0
Fathomless Chasm Clough | Dungeon | 0x545F0288 [40 -60 24.288] 1 0 0 0
Fathomless Chasm Descent | Dungeon | 0x54600347 [50 -200 36.2778] 1 0 0 0
Fathomless Chasm Devex | Dungeon | 0x545E0295 [250 -39.8261 23.9461] 1 0 0 0
Fathomless Chasm Plummet | Dungeon | 0x545F028B [150 -60 36.396] 1 0 0 0
Fear Factory | Dungeon | 0x587701F7 [176.062 -114.658 0.055] 0.707107 0 0 -0.707107
Fearnot Valley Cottages Portal | Dungeon | 0x679D0025 [102.428 99.669 28.934] 0.589542 0 0 -0.807738
Feeding Tubes | Dungeon | 0x002E02D1 [110.562 -336.795 0.005] 1 0 0 0
Fenmalain Menhir Ring Portal | Dungeon | 0x02D80101 [110 -100 -6] -0.707107 0 0 -0.707107
Fenmalain Menhir Ring Portal | Dungeon | 0x02D90163 [110 -120 0] 0 0 0 -1
Fenmalain Portal | Dungeon | 0x02DA0334 [218.454 -388.76 0] 1 0 0 0
Fenmalain Vestibule Portal | Dungeon | 0x02DB0306 [150 -16 12] 1 0 0 0
Festivus Court Portal | Dungeon | 0x93000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Fiery Alcove | Dungeon | 0x586502CF [40 -140 0.005] 1 0 0 0
Fiery Consumption | Dungeon | 0x58450147 [79.75 -99 0.005] 1 0 0 0
Filos' Doom | Dungeon | 0x0150018A [30 0 0] 0.317305 0 0 -0.948324
Filos' Font Cottages Portal | Dungeon | 0xCE90002A [124.833 44.92 28.005] -0.962784 0 0 -0.270273
Fire Cistern Core | Dungeon | 0x56580142 [20 -80 -11.925] 1 0 0 0
Fire Guardian Lair | Dungeon | 0x5843014A [47.9531 -2.5 6.005] 0 0 0 -1
Fire Ziggurat | Dungeon | 0x59460104 [20 -20 0.005] -0.707107 0 0 -0.707107
Firebird's Splendor | Dungeon | 0x644902D1 [290.074 -44.179 0.005] 0 0 0 -1
Firedew Portal | Dungeon | 0x8CB9002D [124.27 99.927 85.514] 0.996508 0 0 -0.083495
Firesong Cottages Portal | Dungeon | 0x5EAF0024 [106.92 74.986 74.005] 0.998384 0 0 -0.056832
Firey Refuge | Dungeon | 0x576901A9 [60 -30 0.01] 1 0 0 0
Fiun Outpost | POI | 0x38F7001B [91 54 -0.095] -0.48481 0 0 -0.87462
Fledgemaster's Camp | Dungeon | 0x34E0002A [132.971 42.986 3.6815] 1 0 0 0
Floating Bridge | Dungeon | 0x0C090101 [84.5 84.8 85] -0.707107 0 0 -0.707107
Floating Spire | Dungeon | 0x287A0100 [180 152 500] 1 0 0 0
Floating Tower | Dungeon | 0x05030101 [84.2 36.9 225] -0.707107 0 0 -0.707107
Folthid Cellar Portal | Dungeon | 0x013B0333 [60 -80 0] 0.71934 0 0 -0.694658
Folthid Estate | Dungeon | 0xC274001C [94.5394 81.4253 24.005] 1 0 0 0
Font Alpa Portal | Dungeon | 0xD5310025 [116.295 104.345 90.005] -0.883545 0 0 -0.468346
Font of the Eternal Harvester | Dungeon | 0x00380285 [20 -40 0.005] 0 0 0 -1
Food Storage | Dungeon | 0x584D0152 [140 -65.25 -23.995] 1 0 0 0
Food Storage | Dungeon | 0x584D0158 [140 -135.25 -23.995] 1 0 0 0
Food Storage | Dungeon | 0x584D0166 [190 -65.25 -23.995] 1 0 0 0
Food Storage | Dungeon | 0x584D016C [190 -135.25 -23.995] 1 0 0 0
Forbidden Crypts Portal | Dungeon | 0x013D02D5 [60 -10 -18] 0 0 0 -1
Foredawn Festival Stone Portal | Dungeon | 0xDE55002A [124.8 38.2 12.4] 0.656059 0 0 -0.75471
Forge Conveyance | Dungeon | 0x644501A1 [50 -10 0.005] 0 0 0 -1
Forges | Dungeon | 0x00EA01E5 [90 -90 -53.4467] 1 0 0 0
Forgotten Chasm | Dungeon | 0x002C029C [204.144 -134.762 0.005] -0.603629 0 0 -0.797265
Forgotten Hills Portal | Dungeon | 0xAE910029 [138.468 12.838 38.482] -0.952507 0 0 -0.304515
Forgotten Mine | Dungeon | 0x01E401AD [38.4 -18.6 6] -0.782608 0 0 -0.622515
Forgotten Temple Portal | Dungeon | 0x015101FE [70 -60 30] 0.707107 0 0 -0.707107
Forking Trail | Dungeon | 0x01AB0137 [37.63 -29.99 0] 0.694658 0 0 -0.71934
Forsaken Portal | Dungeon | 0xF4260102 [111.5 91.6 -4.8] -0.707107 0 0 -0.707107
Forsythian Gardens Portal | Dungeon | 0x7E000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Fort Tethana | Town | 0x2681001D [77.7 108.1 240] -0.522498 0 0 -0.85264
Fort Tethana House Portal | Dungeon | 0x2681001D [77.7 108.1 240] -0.522499 0 0 -0.85264
Fort Tethana Portal | Dungeon | 0x2681001D [77.7 108.1 240] -0.522498 0 0 -0.85264
Fort Tethana Portal | Dungeon | 0x2681001D [77.7 108.1 240] -0.522499 0 0 -0.85264
Fort Tununska Portal | Dungeon | 0x01600143 [40 -100 0] 1 0 0 0
Fort Witshire Surface | Dungeon | 0xAE9E0025 [115.8 118.7 90] 0.829038 0 0 -0.559193
Fortified Royal Vault | Dungeon | 0x001402D6 [0 -10 0.005] 1 0 0 0
Fortified Vault Sewers | Dungeon | 0x000F02EE [110 0 0.005] 0.707107 0 0 -0.707107
Foundry of Izexi | Dungeon | 0x585604EA [53.3024 -316.298 2.06621] -0.743145 0 0 -0.669131
Four Towers Entrance | Dungeon | 0x828E001E [77.6 122.9 124] -0.529919 0 0 -0.848048
Four Towers Settlement Portal | Dungeon | 0x868E0020 [93.197 186.49 118.923] 0.19971 0 0 -0.979855
Freebooter Keep | Dungeon | 0xF92F0293 [63.7124 66.072 124.805] 0.707107 0 0 0.707107
Freehold | POI | 0xF224001A [81.8 33 0] 0.241075 0 0 -0.970506
Freehold Portal | Dungeon | 0xF224001A [81.8 33 0] 0.241075 0 0 -0.970506
Freehold Portal | Dungeon | 0xF224001A [81.8 33 0] 0.241075 0 0 -0.970507
Frigid Grotto | Dungeon | 0x584D035A [140 -120 6.005] 1 0 0 0
Frost Guardian Lair | Dungeon | 0x5743014A [47.9531 -2.5 6.005] 0 0 0 -1
Frost Ziggurat | Dungeon | 0x5A460104 [20 -20 0.005] -0.707107 0 0 -0.707107
Frostfell Festival Stone Portal | Dungeon | 0x60D6000A [28.7 47.9 178] 0.241922 0 0 -0.970296
Frosty Dale Cottages Portal | Dungeon | 0x87E0001C [94.219 81.4 92.153] -0.577986 0 0 -0.816047
Frozen Cenotaph | Dungeon | 0x003701CC [40 -10 0.005] 0 0 0 -1
Frozen Fortress | Dungeon | 0x594F02C2 [140.003 -156.686 0.005] -0.999961 0 0 0.008883
Frozen Library | Dungeon | 0x02FE044E [89.8631 -299.018 0.005] -0.999993 0 0 -0.003704
Frozen Recess | Dungeon | 0x595E02B4 [400 -100 0.005] 0 0 0 -1
Frozen Refuge | Dungeon | 0x5770015B [20.7438 -49.8883 0.01] 0.707107 0 0 0.707107
Frozen Tomb | Dungeon | 0x77E702E4 [25.1647 31.3589 124.805] 0.67559 0 0 -0.737277
Frozen Wight Lair | Dungeon | 0x8B040173 [3.3374 -59.9919 -47.995] 0.707107 0 0 -0.707107
Gaerlan's Citadel Ground | Dungeon | 0xB7C6001E [82.445 134.516 244] 0 0 0 -1
Gaerlan's Inner Sanctum | Dungeon | 0x56540106 [10 -20 18.005] -0.707107 0 0 -0.707107
Gaerwel Edge Settlement Portal | Dungeon | 0xCE870003 [3.87 56.396 22.328] 0.635667 0 0 -0.771963
Gajin Dwellings Portal | Dungeon | 0x76000161 [83.74 -93.75 0] 0.39314 0 0 -0.919479
Gan Zo's Den of Iniquity | Dungeon | 0xDB54001E [85 132 20] 0.707107 0 0 -0.707107
Gardens of Menilesh | Dungeon | 0x00E70283 [80 -60 48.005] 0.275637 0 0 -0.961262
Gate to Qin Xikit's Island | Dungeon | 0x1048001D [85.252 108.1 12] -0.909719 0 0 -0.415225
Gatekeepers | Dungeon | 0x79110040 [175.9 175.86 200.005] -0.965926 0 0 -0.258819
Gateway | Dungeon | 0x006F0100 [-2.94761 -1.26279 0.005] -0.782399 0 0 0.622778
Gateway | Dungeon | 0x26310103 [105 81 241.7] 0.843391 0 0 -0.5373
Gateway | Dungeon | 0x26980103 [86.7 134.8 263.7] -0.573577 0 0 -0.819152
Gateway | Dungeon | 0x462F0021 [109 13 228.81] 1 0 0 0
Gateway | Dungeon | 0x5878014A [170 -240 -59.895] -0.707107 0 0 -0.707107
Gateway | Dungeon | 0x58780158 [300.915 -328.69 -59.99] 0.930508 0 0 -0.366272
Gateway | Dungeon | 0x58780206 [290 -20 -35.895] 0 0 0 -1
Gateway | Dungeon | 0x5878029F [130 -350 -17.895] 1 0 0 0
Gateway | Dungeon | 0x80B60103 [87 32.6 215.7] -0.979925 0 0 -0.199368
Gateway | Dungeon | 0x846E0103 [57 33 169.7] 0.843391 0 0 -0.5373
Gateway | Dungeon | 0x86CE0014 [69.005 89.425 251.71] -0.260437 0 0 -0.965491
Gateway | Dungeon | 0x8B6E0103 [183.3 108.3 190.7] -0.5 0 0 -0.866025
Gateway | Dungeon | 0x994F0103 [15.3 109.2 184.7] -0.446198 0 0 -0.894934
Gateway | Dungeon | 0xB0990103 [182 107.6 231.7] -0.469472 0 0 -0.882948
Gateway | Dungeon | 0xB1140103 [15 14.8 323.7] -0.587785 0 0 -0.809017
Gateway | Dungeon | 0xBC9E0106 [108 8 169.7] 0.979925 0 0 -0.199368
Gateway | Dungeon | 0xBF5E0103 [128.7 129.2 169.7] 0.857167 0 0 -0.515038
Gateway | Dungeon | 0xC79C0103 [110.4 84.6 183.7] -0.469472 0 0 -0.882948
Gateway | Dungeon | 0xC95A0103 [110.8 105.3 169.7] -0.965926 0 0 -0.258819
Gateway | Dungeon | 0xD4880103 [61.1 85.1 197.7] -0.390731 0 0 -0.920505
Gateway | Dungeon | 0xF93B0413 [179.049 91.2016 -45.995] -0.382683 0 0 -0.92388
Gateway Portal | Dungeon | 0x57740112 [0.928162 -0.856308 6.005] 0.34202 0 0 -0.939693
Gateway Portal | Dungeon | 0x577401ED [230 -40 6.005] -0.258819 0 0 -0.965926
Gateway Portal | Dungeon | 0x577401ED [230 -40 6.005] -0.258819 0 0 -0.965926
Gateway Portal | Dungeon | 0x57750270 [19.3695 -40.5341 0.005] -0.386711 0 0 -0.922201
Gateway Portal | Dungeon | 0x57750270 [19.3695 -40.5341 0.005] -0.386711 0 0 -0.922201
Gateway Portal | Dungeon | 0x577601AC [10.944 -95.49 0.005] 0.707107 0 0 -0.707107
Gateway to the Halls of Metos | Dungeon | 0x02F50297 [100 -330 0] 1 0 0 0
Gauntlet Stage 1 | Dungeon | 0x5961010B [20 -100.24 0.005] 1 0 0 0
Gauntlet Stage 1 | Dungeon | 0x5964010B [20 -100.24 0.005] 1 0 0 0
Gauntlet Stage 2 | Dungeon | 0x59640108 [20.4444 -30.5198 0.0055] 1 0 0 0
Gauntlet Stage 3 | Dungeon | 0x5964010B [20.4444 -100.52 0.005] 1 0 0 0
Gauntlet Stage 4 | Dungeon | 0x596B010F [120 -10 0.005] -0.707107 0 0 -0.707107
Gauntlet Stage 6 | Dungeon | 0x596B010F [120 -10 0.005] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88500030 [131.435 179.146 31.5184] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88510004 [11.0229 83.8333 61.5184] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88510005 [11.5135 109.336 61.5184] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88510011 [60.6495 11.1154 46.5184] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88510018 [60.0475 180.929 46.5184] -0.707107 0 0 -0.707107
Gearknight Lord's Tower | Dungeon | 0x88520029 [131.956 12.2227 31.5174] 0 0 0 -1
Gelidite Library | Dungeon | 0x546401AE [60 -70 0.005] 1 0 0 0
Genem Causland Portal | Dungeon | 0x70AA0024 [106.404 89.186 54.573] -0.375974 0 0 -0.92663
Geraine's Study | Dungeon | 0x93020171 [100 -150 0.005] 1 0 0 0
Gerent's Compound | Dungeon | 0x594C0143 [50 -10 5.995] 1 0 0 0
Gharu'n Victory Villas Portal | Dungeon | 0x6F950024 [99.865 93.02 38.005] 0.335813 0 0 -0.941929
Ghost Town Portal | Dungeon | 0xAEC6003D [168.6 104.5 114.1] 0.642788 0 0 -0.766044
Giant Halls | Dungeon | 0x015F0176 [60 -140 0] 0.71934 0 0 -0.694658
Glenden Hills East Settlement Portal | Dungeon | 0xA6A7000E [40.031 125.674 127.915] 0.729751 0 0 -0.683713
Glenden Hills North Settlement Portal | Dungeon | 0xA0AB003A [176.684 44.084 68.331] -0.61786 0 0 -0.786288
Glenden Wood | Dungeon | 0xA0A40017 [69.0695 148.739 66.8883] 1 0 0 0
Glenden Wood | Town | 0xA0A40025 [96.302 119.847 59.955] 0.707107 0 0 -0.707107
Glenden Wood Dungeon | Dungeon | 0x01E3033D [161 -150 0] -0.983255 0 0 -0.182236
Glenden Wood Meeting Hall Portal | Dungeon | 0x01230126 [30 -60 6] 1 0 0 0
Glenden Wood Portal | Dungeon | 0xA0A40025 [96.302 119.847 59.955] 0.707107 0 0 -0.707107
Gloaming Festival Stone Portal | Dungeon | 0x277A0040 [173.5 189.8 380] 0.453991 0 0 -0.891007
Glystaene Cottages Portal | Dungeon | 0xA4CF0015 [63.497 104.593 141.422] 0.770725 0 0 -0.637169
Gold Hill Ruins | Dungeon | 0x6F9A0006 [1.4 122.3 204.8] 0.34939 0 0 -0.936978
Gold Legion Keep | Dungeon | 0x00190105 [90 -23 0.005] -0.000419 0 0 -1
Golem Burial Ground | Dungeon | 0x01B40130 [87.0588 -6.76988 0.005] 0.317305 0 0 -0.948324
